id,url,title,description,priceText,price,perNight,nights,rating,reviews,bedrooms,beds,bathrooms,guests,roomType,latitude,longitude,checkIn,checkOut,accuracyRating,cleanlinessRating,communicationRating,locationRating,valueRating,guestRating,debug,ratingBucket,valueScore
51978429,https://www.airbnb.com/rooms/51978429?search_mode=regular_search&adults=1&check_in=2026-07-10&check_out=2026-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P3MBXaIrDR_FWvla&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Loft in Medellín,Cozy Suite in El Poblado with Co-work & Gym by Jalo,$289,289,57.8,5,4.82,3804,1,1,1,2,Entire home/apt,6.1967,-75.5782,2026-07-10,2026-07-15,4.85,4.85,4.88,4.83,4.79,4.844285714285713,,4.8,0.08339100346020763
1248737331740170771,https://www.airbnb.com/rooms/1248737331740170771?search_mode=regular_search&adults=1&check_in=2026-09-06&check_out=2026-09-11&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P3Pbnbbh_kwCQnlD&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Apartment in Medellín,Medellín Luxury /Poblado/Exclusivity at La Altura,$1129,1129,225.8,5,4.94,127,3,3,2,5,Entire home/apt,6.21887,-75.5634,2026-09-06,2026-09-11,4.98,4.98,4.97,4.86,4.93,4.944285714285714,,4.9,0.021877767936226748
1198628223135585219,https://www.airbnb.com/rooms/1198628223135585219?search_mode=regular_search&adults=1&check_in=2026-07-10&check_out=2026-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P3bGsHOfrzhbcQMu&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Apartment in Medellín,Nock Penthouse Three-Bedroom 9001 Bath tub+Jacuzzi,$1209,1209,241.8,5,4.96,89,3,3,3,6,Entire home/apt,6.2135,-75.5627,2026-07-10,2026-07-15,4.96,4.93,4.99,4.97,4.92,4.96,,4.9,0.020512820512820513
1697391724287705491,https://www.airbnb.com/rooms/1697391724287705491?search_mode=regular_search&adults=1&check_in=2026-08-29&check_out=2026-09-03&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P3BMQZb8War4nGOK&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Apartment in Medellín,Duplex in El Poblado | Pool & Provenza Nearby,$427,427,85.4,5,5,5,1,2,1,4,Entire home/apt,6.2164,-75.5569,2026-08-29,2026-09-03,5,5,5,5,5,5,,5.0,0.058548009367681494
1567469446203161055,https://www.airbnb.com/rooms/1567469446203161055?search_mode=regular_search&adults=1&check_in=2026-07-22&check_out=2026-07-27&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P3qeVxiBBY1uMdpm&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Place to stay in El Poblado,Luxury stay in Lleras Park/security/AC/1 Provence,$242,242,48.4,5,4.79,28,1,1,1,2,Private room,6.208833466686287,-75.5688321261545,2026-07-22,2026-07-27,4.75,4.71,4.96,4.64,4.82,4.774285714285715,,4.7,0.09896694214876034
1465435806096142214,https://www.airbnb.com/rooms/1465435806096142214?search_mode=regular_search&adults=1&check_in=2026-07-11&check_out=2026-07-16&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P323l5u_GIP14_3y&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Apartment in Medellín,"Loft @Poblado, A/C, Fast WIFI, King bed",$371,371,74.2,5,4.98,42,1,1,1,2,Entire home/apt,6.212638010420363,-75.56749992868684,2026-07-11,2026-07-16,4.98,4.98,4.98,4.98,4.93,4.972857142857143,,4.9,0.06711590296495958
53542495,https://www.airbnb.com/rooms/53542495?search_mode=regular_search&adults=1&check_in=2026-07-12&check_out=2026-07-17&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P3fSOfx2Eb0dsWvY&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Apartment in El Poblado,Top location Provenza: Private Jacuzzi 2 min to Lleras,$1031,1031,206.2,5,4.91,225,3,3,3,6,Entire home/apt,6.2085,-75.5654,2026-07-12,2026-07-17,4.95,4.91,4.97,4.96,4.91,4.938571428571429,,4.9,0.023811833171677985
1426845173020818730,https://www.airbnb.com/rooms/1426845173020818730?search_mode=regular_search&adults=1&check_in=2026-07-18&check_out=2026-07-23&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P3UEyK-fpGz5X1Vp&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Apartment in El Poblado,"Designer Penthouse with Jacuzzi, Bar, and Views – Provenza",$2808,2808,561.6,5,5,35,4,4,3,8,Entire home/apt,6.21059,-75.56485,2026-07-18,2026-07-23,5,4.97,5,5,4.94,4.987142857142857,,5.0,0.008903133903133903
1700919934716422591,https://www.airbnb.com/rooms/1700919934716422591?search_mode=regular_search&adults=1&check_in=2026-07-13&check_out=2026-07-18&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P3T_IvzWMJak5CDh&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Home in El Tesoro,Luxury Villa | Hot Tub | 5 Min Tesoro | Provenza,$1106,1106,221.2,5,5,4,4,4,4,8,Entire home/apt,6.2028,-75.558,2026-07-13,2026-07-18,5,5,5,5,5,5,,5.0,0.022603978300180832
1147500958700395371,https://www.airbnb.com/rooms/1147500958700395371?search_mode=regular_search&adults=1&check_in=2026-07-10&check_out=2026-07-15&children=0&infants=0&pets=0&source_impression_id=p3_1783637739_P3SMDb3BIHDrCKoC&previous_page_section_name=1000&federated_search_id=f2e48c9f-c803-4ee0-9298-b9ba6c76ed49,Loft in Medellín,Private Jacuzzi•Loft in Poblado•Wired Wi-Fi•A/C•204,$290,290,58,5,4.79,140,1,1,1,2,Entire home/apt,6.1992,-75.5654,2026-07-10,2026-07-15,4.91,4.83,4.92,4.94,4.78,4.8742857142857146,,4.7,0.08258620689655173
